QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,COMMITTED SCHOOL,RECRUIT STATUS,PLAYER URL,,,,,,,,STRAIGHT LINE DISTANCE (MILES),DRIVING DISTANCE (MILES)
Husan Longstreet,2025,98,5,1-Jun,195,QB,California,Corona,Corona Centennial,4/14/2024,4,32,3,24257,USC,Enrolled,https://247sports.com/player/husan-longstreet-46134189/,,,,,,,,42.5,50.3
Deuce Knight,2025,96,4,5-Jun,225,QB,Mississippi,Lucedale,George County,,6,56,2,24098,Auburn,Enrolled,https://247sports.com/player/deuce-knight-46115276/,,,,,,,,215.1,244.1
Julian Lewis,2025,94,4,1-Jun,190,QB,Georgia,Carrollton,Carrollton,,10,126,15,24020,Colorado,Enrolled,https://247sports.com/player/julian-lewis-46115205/,,,,,,,,1198.7,1457.4
Jaron-Keawe Sagapolutele,2025,96,4,3-Jun,225,QB,Hawaii,Ewa Beach,James Campbell,7/8/2024,7,65,1,24090,Oregon,Enrolled,https://247sports.com/player/jaron-keawe-sagapolutele-46133353/,,,,,,,,2536.5,N/A
Bryce Baker,2025,93,4,2-Jun,205,QB,North Carolina,Kernersville,East Forsyth,,12,155,5,24014,North Carolina,Enrolled,https://247sports.com/player/bryce-baker-46138587/,,,,,,,,59.2,65.7
Matt Zollers,2025,95,4,4-Jun,214,QB,Pennsylvania,Royersford,Spring-Ford,4/4/2024,9,87,2,24024,Missouri,Enrolled,https://247sports.com/player/matt-zollers-46140235/,,,,,,,,897.3,976.8
Malik Washington,2025,96,4,5-Jun,231,QB,Maryland,Severn,Archbishop Spalding,6/28/2024,5,54,2,24012,Maryland,Enrolled,https://247sports.com/player/malik-washington-46133328/,,,,,,,,16.3,22.7
Kamario Taylor,2025,95,4,4-Jun,230,QB,Mississippi,Macon,Noxubee County,,8,80,3,24104,Mississippi State,Enrolled,https://247sports.com/player/kamario-taylor-46135624/,,,,,,,,28,33.4
Ryan Montgomery,2025,92,4,3-Jun,215,QB,Ohio,Findlay,Findlay,4/17/2024,14,180,5,24100,Georgia,Enrolled,https://247sports.com/player/ryan-montgomery-46117074/,,,,,,,,490.9,619.9
George MacIntyre,2025,91,4,6-Jun,195,QB,Tennessee,Brentwood,Brentwood Academy,1/22/2024,17,270,9,24106,Tennessee,Enrolled,https://247sports.com/player/george-macintyre-46132721/,,,,,,,,159.5,185.5
Karle Lacey Jr.,2025,90,4,Jun-00,189,QB,Alabama,Saraland,Saraland,,19,296,15,24028,Texas,Enrolled,https://247sports.com/player/karle-lacey-jr-46136240/,,,,,,,,576,631.5
AJ Hill,2025,93,4,4-Jun,230,QB,Georgia,Warner Robins,Houston County,6/22/2024,11,145,18,24053,Memphis,Enrolled,https://247sports.com/player/aj-hill-46103864/,,,,,,,,402,476.2
Akili Smith Jr.,2025,92,4,5-Jun,231,QB,California,San Diego,San Diego Lincoln,,15,201,17,24090,Oregon,Enrolled,https://247sports.com/player/akili-smith-jr-46134755/,,,,,,,,844.9,974.3
Brady Hart,2025,89,3,4-Jun,195,QB,Florida,Cocoa,Cocoa,,31,472,60,24029,Texas A&M,Enrolled,https://247sports.com/player/brady-hart-46141204/,,,,,,,,951.5,1081
Adam Schobel,2025,93,4,5-Jun,205,QB,Texas,Columbus,Columbus,,13,162,30,24083,TCU,Enrolled,https://247sports.com/player/adam-schobel-46129449/,,,,,,,,213,233.6
Luke Nickel,2025,91,4,2-Jun,220,QB,Georgia,Alpharetta,Milton,,16,247,35,24013,Miami,Enrolled,https://247sports.com/player/luke-nickel-46118279/,,,,,,,,625.4,693
TJ Lateef,2025,89,3,1-Jun,200,QB,California,Orange,Orange Lutheran,,27,438,41,24025,Nebraska,Enrolled,https://247sports.com/player/tj-lateef-46130401/,,,,,,,,1259.8,1499.3
Tramell Jones Jr.,2025,89,3,Jun-00,203,QB,Florida,Jacksonville,Mandarin,,25,433,51,24099,Florida,Enrolled,https://247sports.com/player/tramell-jones-jr-46116584/,,,,,,,,63.1,74.4
Cameron Dyer,2025,94,4,3-Jun,215,QB,New Mexico,Albuquerque,La Cueva,,6,141,1,24088,Arizona State,Enrolled,https://247sports.com/player/cameron-dyer-46145932/,,,,,,,,322.8,409.6
Madden Iamaleava,2025,90,4,2-Jun,197,QB,California,Long Beach,Long Beach Poly,,20,307,30,24097,Arkansas,Enrolled,https://247sports.com/player/madden-iamaleava-46128290/,,,,,,,,1366.6,1557.4
Ty Hawkins,2025,91,4,Jun-00,205,QB,Texas,San Antonio,IMG Academy,,18,274,29,24055,SMU,Enrolled,https://247sports.com/player/ty-hawkins-46134774/,,,,,,,,256.9,278.9
Carter Smith,2025,89,3,3-Jun,200,QB,Florida,Fort Myers,Bishop Verot ,,24,426,44,24049,Wisconsin,Enrolled,https://247sports.com/player/carter-smith-46137774/,,,,,,,,1212.7,1422.5
Alex Manske,2025,88,3,3-Jun,225,QB,Iowa,Algona,Algona,,36,643,6,24021,Iowa State,Enrolled,https://247sports.com/player/alex-manske-46136680/,,,,,,,,78,100.1
Blake Hebert,2025,89,3,3-Jun,225,QB,Connecticut,Greenwich,Brunswick School,6/16/2023,29,469,3,24064,Notre Dame,Enrolled,https://247sports.com/player/blake-hebert-46134698/,,,,,,,,655,726.8
Kevin Sperry,2025,87,3,1-Jun,210,QB,Texas,Denton,Denton Guyer,,50,965,140,24010,Florida State,Enrolled,https://247sports.com/player/kevin-sperry-46131926/,,,,,,,,777,869.4
Bear Bachmeier,2025,88,3,2-Jun,220,QB,California,Murrieta,Murrieta Valley,,34,607,54,24092,Stanford,Enrolled,https://247sports.com/player/bear-bachmeier-46116816/,,,,,,,,386.3,435.6
Jackson Kollock,2025,89,3,4-Jun,225,QB,California,Laguna Beach,Laguna Beach,,32,473,44,24044,Minnesota,Enrolled,https://247sports.com/player/jackson-kollock-46138251/,,,,,,,,1526.3,1919.9
Lloyd Jones III,2025,89,3,4-Jun,215,QB,Texas,Hitchcock,Hitchcock,,28,468,60,24030,Texas Tech,Enrolled,https://247sports.com/player/lloyd-jones-iii-46130697/,,,,,,,,500.4,569.5
Weston Bryan,2025,90,4,3-Jun,250,QB,Georgia,Leesburg,Lee County,,18,367,51,24229,Georgia Southern,Enrolled,https://247sports.com/player/weston-bryan-46141609/,,,,,,,,147.6,178.7
Tristan Ti'a,2025,90,4,2-Jun,205,QB,California,Pleasanton,Amador Valley,,21,405,36,24091,Oregon State,Enrolled,https://247sports.com/player/tristan-tia-46144745/,,,,,,,,482.4,578.7
Robert McDaniel,2025,89,3,2-Jun,200,QB,California,Hughson,Hughson,,23,420,38,24093,UCLA,Enrolled,https://247sports.com/player/robert-mcdaniel-46142194/,,,,,,,,278.8,300.2
Grayson Wilson,2025,89,3,3-Jun,205,QB,Arkansas,Maumelle,Conway,,26,437,2,24097,Arkansas,Enrolled,https://247sports.com/player/grayson-wilson-46135316/,,,,,,,,131.2,180.3
Dash Beierly,2025,89,3,Jun-00,213,QB,California,Santa Ana,Mater Dei,,30,470,43,24094,Washington,Enrolled,https://247sports.com/player/dash-beierly-46128687/,,,,,,,,988,1170.9
Will Wilson,2025,88,3,1-Jun,230,QB,South Carolina,Columbia,Richland Northeast,,35,631,15,24015,NC State,Enrolled,https://247sports.com/player/will-wilson-46129643/,,,,,,,,181.3,227.7
Bjorn Jurgensen,2025,88,3,3-Jun,200,QB,Florida,Orlando,Bishop Moore Catholic,,33,590,65,24016,Virginia,Enrolled,https://247sports.com/player/bjorn-jurgensen-46131961/,,,,,,,,676.9,765.2
David McComb,2025,88,3,4-Jun,220,QB,Oklahoma,Edmond,Edmond Memorial,,42,718,15,24022,Kansas,Enrolled,https://247sports.com/player/david-mccomb-46133180/,,,,,,,,257.9,302
Elijiah Oehlke,2025,86,3,2-Jun,223,QB,North Carolina,Hope Mills,Trinity Christian School,,58,1194,27,24018,Wake Forest,Enrolled,https://247sports.com/player/elijiah-oehlke-46134655/,,,,,,,,109.8,130.3
Grady Adamson,2025,88,3,2-Jun,215,QB,Oklahoma,Edmond,Deer Creek,,38,649,11,24011,Georgia Tech,Enrolled,https://247sports.com/player/grady-adamson-46134710/,,,,,,,,752.8,861.1
Cutter Woods,2025,87,3,3-Jun,204,QB,South Carolina,Anderson,Westside,4/10/2024,46,865,21,24105,South Carolina,Enrolled,https://247sports.com/player/cutter-woods-46134735/,,,,,,,,99.9,119.5
Treston McMillan,2025,88,3,11-May,213,QB,Hawaii,Mililani,Mililani,,41,703,11,24094,Washington,Enrolled,https://247sports.com/player/treston-mcmillan-46136569/,,,,,,,,2680.8,N/A
A.J. Brand,2025,88,3,2-Jun,210,QB,South Carolina,Columbia,Irmo,,36,629,13,24017,Virginia Tech,Enrolled,https://247sports.com/player/aj-brand-46117338/,,,,,,,,225.2,260.4
Ethan Houck,2025,88,3,4-Jun,205,QB,Maryland,Brunswick,Brunswick,,44,812,27,24138,Liberty,Enrolled,https://247sports.com/player/ethan-houck-46150864/,,,,,,,,158.6,203.7
Mason Heintschel,2025,88,3,2-Jun,215,QB,Ohio,Oregon,Clay,,43,747,30,24034,Pittsburgh,Enrolled,https://247sports.com/player/mason-heintschel-46144186/,,,,,,,,201.5,228.7
Wyatt Becker,2025,87,3,1-Jun,195,QB,California,Chatsworth,Sierra Canyon,,47,877,79,24085,Utah,Enrolled,https://247sports.com/player/wyatt-becker-46117255/,,,,,,,,582.3,699.8
Mason Mims,2025,88,3,3-Jun,210,QB,Alabama,Oxford,Oxford,,37,644,27,24033,Louisville,Enrolled,https://247sports.com/player/mason-mims-46138196/,,,,,,,,317.8,401.9
Stone Saunders,2025,88,3,1-Jun,222,QB,Pennsylvania,Harrisburg,Bishop McDevitt,8/4/2023,39,650,18,24101,Kentucky,Enrolled,https://247sports.com/player/stone-saunders-46117119/,,,,,,,,436.4,533.8
Jershaun Newton,2025,87,3,Jun-00,215,QB,Florida,Clearwater,Clearwater Central Catholic,,61,883,91,24039,Illinois,Enrolled,https://247sports.com/player/jershaun-newton-46133332/,,,,,,,,892,1094.2
Hezekiah Millender,2025,86,3,3-Jun,205,QB,Georgia,Athens,Clarke Central,,79,1548,159,24100,Georgia,Enrolled,https://247sports.com/player/hezekiah-millender-46141614/,,,,,,,,1.3,1.7
Au'Tori Newkirk,2025,90,4,3-Jun,200,QB,Virginia,Norfolk,Maury,,22,406,13,24014,North Carolina,Enrolled,https://247sports.com/player/autori-newkirk-46147748/,,,,,,,,166.7,200.2
Austin Carlisle,2025,88,3,10-May,190,QB,Texas,Missouri City,Fort Bend Ridge Point,5/18/2024,40,664,86,24051,Houston,Enrolled,https://247sports.com/player/austin-carlisle-46139472/,,,,,,,,13.6,15.3
Bekkem Kritza,2025,87,3,5-Jun,199,QB,Florida,Hollywood,Chaminade-Madonna,11/14/2023,57,1138,114,24047,Penn State,Enrolled,https://247sports.com/player/bekkem-kritza-46125722/,,,,,,,,1031,1245.6
Dan Mahan,2025,87,3,2-Jun,195,QB,North Carolina,Burlington,Williams,,56,1125,24,24009,Duke,Enrolled,https://247sports.com/player/dan-mahan-46135914/,,,,,,,,28.4,31.4
Carson Boyd,2025,87,3,Jun-00,190,QB,Missouri,St. Louis,Cardinal Ritter College Prep,,48,937,11,24039,Illinois,Enrolled,https://247sports.com/player/carson-boyd-46114452/,,,,,,,,145.2,172.6
Leo Hannan,2025,87,3,3-Jun,215,QB,California,Anaheim,Servite,,45,852,77,24043,Michigan State,Enrolled,https://247sports.com/player/leo-hannan-46139957/,,,,,,,,1899.8,2216.1
Scotty Fox Jr.,2025,87,3,2-Jun,213,QB,Ohio,Mentor,Mentor,,51,967,40,24038,West Virgina,Enrolled,https://247sports.com/player/scotty-fox-jr-46137661/,,,,,,,,158.1,205.5
Jamar Malone,2025,86,3,2-Jun,205,QB,California,Downey,Warren,,76,1393,113,24133,Sacramento State,Signed,https://247sports.com/player/jamar-malone-46128146/,,,,,,,,368.3,400.5
Byrd Ficklin,2025,87,3,1-Jun,200,QB,Oklahoma,Muskogee,Muskogee,,53,1057,21,24085,Utah,Enrolled,https://247sports.com/player/byrd-ficklin-46136393/,,,,,,,,957.9,1253.5
Edward Griffin,2025,86,3,1-Jun,218,QB,Texas,Coppell,Coppell,,70,1275,178,24019,Baylor,Enrolled,https://247sports.com/player/edward-griffin-46136526/,,,,,,,,97.2,113.3
Owen Eshelman,2025,86,3,3-Jun,202,QB,Oklahoma,Norman,Norman North,,60,1241,23,24095,Washington St.,Enrolled,https://247sports.com/player/owen-eshelman-46150945/,,,,,,,,1293.7,1838.2
Michael Tollefson,2025,87,3,1-Jun,195,QB,California,Tustin,Tustin,,54,1058,95,24088,Arizona State,Enrolled,https://247sports.com/player/michael-tollefson-46116585/,,,,,,,,339.9,366.3
Brennen Ward,2025,86,3,4-Jun,222,QB,Ohio,Columbus,Gahanna Lincoln,,64,1266,49,24101,Kentucky,Enrolled,https://247sports.com/player/brennen-ward-46134106/,,,,,,,,156.2,190.2
Shaker Reisig,2025,87,3,Jun-00,199,QB,Oklahoma,Tulsa,Tulsa Union,,49,964,18,24007,Boston College,Enrolled,https://247sports.com/player/shaker-reisig-46141587/,,,,,,,,1389.4,1568.9
Max Gerlich,2025,85,3,3-Jun,215,QB,Texas,Austin,Austin Anderson,,81,1658,242,24391,UTSA,Enrolled,https://247sports.com/player/max-gerlich-46133324/,,,,,,,,74,85
Nolan Keeney,2025,86,3,4-Jun,215,QB,Oregon,Tualatin,Tualatin,,62,1258,10,24079,BYU,Signed,https://247sports.com/player/nolan-keeney-46135765/,,,,,,,,664.9,821.3
Zebulin Kinsey,2025,86,3,3-Jun,222,QB,Ohio,Toronto,Toronto,,66,1271,50,24031,Cincinnati,Enrolled,https://247sports.com/player/zebulin-kinsey-46139626/,,,,,,,,227.6,252.8
Kelden Ryan,2025,87,3,2-Jun,195,QB,Texas,DeSoto,DeSoto,,55,1124,167,24017,Virginia Tech,Enrolled,https://247sports.com/player/kelden-ryan-46125377/,,,,,,,,982.9,1090.1
Jack Elliott,2025,85,3,Jun-00,205,QB,Illinois,Chicago,Mount Carmel,,101,1841,47,24107,Vanderbilt,Enrolled,https://247sports.com/player/jack-elliott-46142239/,,,,,,,,398.5,470.6
Jaylen Patterson,2025,84,3,3-Jun,205,QB,California,San Jacinto,San Jacinto,,137,2310,195,24123,New Mexico State,Enrolled,https://247sports.com/player/jaylen-patterson-46139843/,,,,,,,,600.6,696.1
Sawyer Anderson,2025,85,3,11-May,184,QB,Texas,Dallas,Dallas Parish Episcopal,8/15/2023,88,1689,244,24087,Arizona,Enrolled,https://247sports.com/player/sawyer-anderson-46118594/,,,,,,,,825,955.1
Landyn Locke,2025,86,3,4-Jun,205,QB,Texas,Rockwall,Rockwall,,67,1272,177,24237,Sam Houston,Enrolled,https://247sports.com/player/landyn-locke-46141143/,,,,,,,,158.8,193.6
Mason Drube,2025,87,3,3-Jun,205,QB,Wyoming,Gillette,Campbell County,,52,968,1,24086,Wyoming,Enrolled,https://247sports.com/player/mason-drube-46148273/,,,,,,,,205.6,249.5
Cole Geer,2025,85,3,1-Jun,205,QB,Massachusetts,Deerfield,Deerfield Academy,,99,1816,10,24016,Virginia,Enrolled,https://247sports.com/player/cole-geer-46135655/,,,,,,,,439.7,514.6
Chris Jimerson Jr.,2025,86,3,10-May,166,QB,Texas,Fort Worth,North Crowley,7/12/2024,73,1328,187,24114,North Texas,Enrolled,https://247sports.com/player/chris-jimerson-jr-46142405/,,,,,,,,33.3,35.2
Emile Picarella III,2025,86,3,2-Jun,212,QB,Louisiana,Baton Rouge,University Lab,,74,1329,40,24102,LSU,Enrolled,https://247sports.com/player/emile-picarella-iii-46111731/,,,,,,,,3,4.1
Locklan Hewlett,2025,86,3,1-Jun,195,QB,Florida,St. Augustine,St. Augustine,,61,1242,161,24036,South Florida,Enrolled,https://247sports.com/player/locklan-hewlett-46116583/,,,,,,,,143.1,185.8
Dillon Duff,2025,86,3,1-Jun,207,QB,Missouri,St. Louis,De Smet Jesuit,,68,1273,18,24023,Kansas State,Enrolled,https://247sports.com/player/dillon-duff-46142124/,,,,,,,,346.3,372.8
Jack Moran,2025,86,3,5-Jun,225,QB,New Jersey,Princeton,Hun School,,78,1534,41,24201,Jacksonville State,Enrolled,https://247sports.com/player/jack-moran-46146520/,,,,,,,,759.2,895.1
Marcus Romain,2025,85,3,Jun-00,200,QB,Georgia,Marietta,Wheeler,,89,1690,169,24045,Northwestern,Enrolled,https://247sports.com/player/marcus-romain-46147840/,,,,,,,,585,680.7
Jimmy Sullivan,2025,86,3,1-Jun,197,QB,Indiana,Fort Wayne,Carroll,,65,1270,22,24041,Iowa,Enrolled,https://247sports.com/player/jimmy-sullivan-46140601/,,,,,,,,334.1,370.8
Cade Scott,2025,86,3,5-Jun,200,QB,Kentucky,Brandenburg,Meade County,,80,1656,15,24057,Tulane,Enrolled,https://247sports.com/player/cade-scott-46154501/,,,,,,,,600.8,694.5
Koi Fagan,2025,86,3,1-Jun,178,QB,West Virginia,Martinsburg,Martinsburg,,111,1461,4,24052,Marshall,Enrolled,https://247sports.com/player/koi-fagan-46154621/,,,,,,,,250.2,351.1
Charlie Johnston,2025,85,3,5-Jun,200,QB,Alabama,Birmingham,Moody,,92,1718,63,24229,Georgia Southern,Enrolled,https://247sports.com/player/charlie-johnston-46133619/,,,,,,,,300.6,353.2
Ennio Yapoor,2025,84,3,11-May,225,QB,Florida,Miami,Miami Norland,,125,2194,229,24265,Tuskegee,Enrolled,https://247sports.com/player/ennio-yapoor-46118173/,,,,,,,,567.5,645.3
Jett Niu,2025,85,3,2-Jun,198,QB,Utah,Lehi,Lehi,,84,1664,20,24026,Oklahoma,Enrolled,https://247sports.com/player/jett-niu-46135226/,,,,,,,,863,1228.3
Luke Carney,2025,84,3,2-Jun,205,QB,Texas,Mesquite,Dallas Christian School,,117,2114,297,24037,Syracuse,Enrolled,https://247sports.com/player/luke-carney-46132154/,,,,,,,,1316.9,1507.9
Sean Ashenfelder,2025,85,3,1-Jun,210,QB,Florida,St. Augustine,Creekside ,,85,1668,182,24035,Rutgers,Enrolled,https://247sports.com/player/sean-ashenfelder-46133536/,,,,,,,,829.1,945
JT Kitna,2025,86,3,3-Jun,221,QB,Ohio,Middletown,Lakota East,,75,1330,53,24067,Bowling Green,Enrolled,https://247sports.com/player/jt-kitna-46135336/,,,,,,,,135,152.8
Luke Haugo,2025,86,3,5-Jun,200,QB,Arizona,Phoenix,Higley,,69,1274,13,24087,Arizona,Enrolled,https://247sports.com/player/luke-haugo-46137969/,,,,,,,,106.1,113.6
Colton Gumino,2025,84,3,Jun-00,196,QB,Illinois,Arlington Heights,John Hersey,,126,2208,61,24093,UCLA,Enrolled,https://247sports.com/player/colton-gumino-46129610/,,,,,,,,1736.3,2037.7
Eli Morcos,2025,85,3,1-Jun,205,QB,Texas,Montgomery,Lake Creek,,98,1815,271,24029,Texas A&M,Enrolled,https://247sports.com/player/eli-morcos-46147053/,,,,,,,,54.7,66.2
Ryan Fitzgerald,2025,86,3,1-Jun,218,QB,Illinois,Wilmette,Loyola Academy,,77,1452,37,24041,Iowa,Enrolled,https://247sports.com/player/ryan-fitzgerald-46145800/,,,,,,,,200.9,232.2
Rich Belin,2025,85,3,Jun-00,195,QB,New York,Bronx,Cardinal Hayes,6/27/2024,97,1814,14,24037,Syracuse,Enrolled,https://247sports.com/player/rich-belin-46133585/,,,,,,,,189.1,253
Steele Pizzella,2025,86,3,11-May,180,QB,California,Sherman Oaks,Notre Dame,,71,1311,105,24018,Wake Forest,Enrolled,https://247sports.com/player/steele-pizzella-46127905/,,,,,,,,2147.3,2457.6
Carter Jones,2025,86,3,4-Jun,190,QB,Texas,Lancaster,Lancaster,,63,1259,172,24122,Nevada,Enrolled,https://247sports.com/player/carter-jones-46141575/,,,,,,,,1369.8,1666.1
Ksaan Farrar,2025,85,3,3-Jun,215,QB,Virginia,Virginia Beach,Green Run,5/12/2024,103,1870,45,24032,Uconn,Enrolled,https://247sports.com/player/ksaan-farrar-46147316/,,,,,,,,396,490.3
JP Mialovski,2025,85,3,2-Jun,205,QB,California,Long Beach,Millikan,,106,1898,153,24082,San Diego State,Enrolled,https://247sports.com/player/jp-mialovski-46133627/,,,,,,,,94.2,106.4
Jack James,2025,85,3,Jun-00,210,QB,Kentucky,Paducah,Paducah Tilghman,,105,1874,17,24115,Troy,Enrolled,https://247sports.com/player/jack-james-46143956/,,,,,,,,394.7,463.9
Deante Ruffin,2025,83,3,2-Jun,215,QB,New Jersey,Atco,Winslow Township,,153,2560,50,24071,Kent State,Enrolled,https://247sports.com/player/deante-ruffin-46133271/,,,,,,,,350.8,418.5
Noah Ehrlich,2025,86,3,1-Jun,194,QB,Indiana,Crown Point,Crown Point,,72,1325,24,24072,Miami (OH),Enrolled,https://247sports.com/player/noah-ehrlich-46116618/,,,,,,,,191.2,236.6
Tyrell Lewis,2025,85,3,1-Jun,200,QB,Ohio,Dayton,Wayne,,94,1740,73,24108,Arkansas State,Enrolled,https://247sports.com/player/tyrell-lewis-46131180/,,,,,,,,445.2,538.4
Andrew Alford,2025,85,3,Jun-00,195,QB,Alabama,Phenix City,Central Phenix City,,114,2072,83,24058,Tulsa,Enrolled,https://247sports.com/player/andrew-alford-46141215/,,,,,,,,673.9,774.2
Deuce Bailey,2025,85,3,1-Jun,190,QB,Kentucky,Danville,Bowling Green,,104,1873,16,24182,Missouri State,Enrolled,https://247sports.com/player/deuce-bailey-46145684/,,,,,,,,467.7,534.5
Mark Wiepert,2025,85,3,1-Jun,210,QB,Oregon,Wilsonville,Wilsonville,,154,2020,12,24090,Oregon,Enrolled,https://247sports.com/player/mark-wiepert-46151961/,,,,,,,,88.7,94.9
Max Anderson,2025,85,3,Jun-00,208,QB,West Virginia,Martinsburg,Spring Mills,,157,2068,6,24038,West Virgina,Enrolled,https://247sports.com/player/max-anderson-46155342/,,,,,,,,106.8,149.1
Ethan Plumb,2025,85,3,3-Jun,187,QB,Illinois,St. Charles,St. Charles North,,102,1845,51,24280,Grand Valley State,HardCommit,https://247sports.com/player/ethan-plumb-46129591/,,,,,,,,143,208.3
Jay Beamon,2025,85,3,4-Jun,220,QB,Mississippi,Cleveland,Cleveland Central,,112,1985,39,24057,Tulane,Enrolled,https://247sports.com/player/jay-beamon-46135275/,,,,,,,,265.1,302.4
Alonzo Esparza,2025,83,3,Jun-00,190,QB,California,Los Alamitos,Los Alamitos,,145,2477,211,24089,California,Enrolled,https://247sports.com/player/alonzo-esparza-46117845/,,,,,,,,365.3,396.2
Chad Warner,2025,85,3,2-Jun,170,QB,Texas,Cibolo,Cibolo Steele,,82,1659,243,24061,UTEP,Enrolled,https://247sports.com/player/chad-warner-46134352/,,,,,,,,496,564
Jax Brown,2025,,0,3-Jun,195,QB,Texas,Pflugerville,Pflugerville Weiss,,,,,24237,Sam Houston,Enrolled,https://247sports.com/player/jax-brown-46133925/,,,,,,,,124.9,153.1
Jason Wright,2025,85,3,3-Jun,195,QB,Virginia,Richmond,Huguenot,,113,2057,50,24068,Buffalo,Enrolled,https://247sports.com/player/jason-wright-46144534/,,,,,,,,378.1,483.3
Tama Amisone,2025,84,3,Jun-00,182,QB,Hawaii,Kapolei,Kapolei,,135,2288,23,24124,San Jose State,Enrolled,https://247sports.com/player/tama-amisone-46148270/,,,,,,,,2422.9,N/A
Christian Langford,2025,85,3,1-Jun,200,QB,Georgia,Buford,Langston Hughes,,100,1840,188,24109,FIU,Enrolled,https://247sports.com/player/christian-langford-46136593/,,,,,,,,617.3,703
Denzel Gardner,2025,84,3,Jun-00,205,QB,Maryland,Hyattsville,DeMatha Catholic,,128,2234,61,24056,Southern Miss,Enrolled,https://247sports.com/player/denzel-gardner-46129828/,,,,,,,,875,982.7
Silas Corder,2025,,0,1-Jun,207,QB,Mississippi,Pascagoula,Pascagoula,,,,,24056,Southern Miss,Enrolled,https://247sports.com/player/silas-corder-46151607/,,,,,,,,81,95.1
Jaystin Gwinn,2025,85,3,10-May,206,QB,Ohio,Westerville,Westerville Central,,107,1904,76,24046,Ohio State,Enrolled,https://247sports.com/player/jaystin-gwinn-46133417/,,,,,,,,9.8,13.3
John Gazzaniga,2025,85,3,7-Jun,241,QB,California,Rancho Santa Margarita,Santa Margarita Catholic,,90,1691,135,24096,Alabama,Enrolled,https://247sports.com/player/john-gazzaniga-46133767/,,,,,,,,1727.7,2017.5
Wyatt Horton,2025,85,3,Jun-00,175,QB,Arizona,Phoenix,Pinnacle,,96,1796,22,24127,Idaho State,Signed,https://247sports.com/player/wyatt-horton-46140999/,,,,,,,,650.7,823.8
Ethan Drumm,2025,83,3,2-Jun,195,QB,Florida,Jacksonville,The Bolles School,,162,2615,263,24232,Wofford,Signed,https://247sports.com/player/ethan-drumm-46146760/,,,,,,,,320.7,380.4
Bryson Kimbrough,2025,85,3,2-Jun,200,QB,Alabama,Tuscaloosa,Hillcrest-Tuscaloosa,,111,1960,72,24112,Louisiana-Monroe,Enrolled,https://247sports.com/player/bryson-kimbrough-46148910/,,,,,,,,265.2,302.5
Kolton Matson,2025,84,3,2-Jun,195,QB,Washington,Lake Stevens,Lake Stevens,,120,2173,27,24408,Central Washington,HardCommit,https://247sports.com/player/kolton-matson-46128306/,,,,,,,,100,134.3
Noah Gillon,2025,83,3,3-Jun,180,QB,Mississippi,Tupelo,Tupelo,,152,2559,54,24224,Appalachian State,Enrolled,https://247sports.com/player/noah-gillon-46138254/,,,,,,,,418.3,517.2
Grant Vigen,2025,84,3,6-Jun,220,QB,Montana,Bozeman,Gallatin,,131,2239,1,24129,Montana State,Signed,https://247sports.com/player/grant-vigen-46140981/,,,,,,,,2,2.7
John Austin Wood,2025,84,3,4-Jun,185,QB,Mississippi,Fulton,Itawamba Agricultural,,140,2428,51,24314,North Alabama,Signed,https://247sports.com/player/john-austin-wood-46142128/,,,,,,,,55.4,71.4
Conner Nelson,2025,84,3,3-Jun,218,QB,Alabama,Leeds,Leeds ,,119,2156,94,24238,Southeastern Louisiana,Signed,https://247sports.com/player/conner-nelson-46143022/,,,,,,,,310.7,373.4
Terrell Russell,2025,84,3,Jun-00,170,QB,Alabama,Montgomery,Carver Montgomery,,122,2190,98,24175,Howard,Signed,https://247sports.com/player/terrell-russell-46143066/,,,,,,,,689.6,800.6
Trevor Havill,2025,84,3,5-Jun,210,QB,Kentucky,Louisville,St. Xavier,,132,2248,28,24170,Yale,HardCommit,https://247sports.com/player/trevor-havill-46144454/,,,,,,,,712.8,841.7
Axel Eason,2025,84,3,4-Jun,212,QB,California,Westlake Village,Oaks Christian,,138,2319,197,24158,UC Davis,Signed,https://247sports.com/player/axel-eason-46148194/,,,,,,,,345.6,407.7
Nick Cyrus,2025,84,3,6-Jun,190,QB,New York,Brooklyn,South Shore,,118,2155,19,24204,Tennessee State,HardCommit,https://247sports.com/player/nick-cyrus-46149969/,,,,,,,,762,894.4
Brady Stober,2025,84,3,Jun-00,185,QB,North Carolina,Harrisburg,Hickory Ridge,,130,2238,47,24230,Samford,Signed,https://247sports.com/player/brady-stober-46151282/,,,,,,,,356,409
Jordan Magwood,2025,81,3,Jun-00,195,QB,Florida,Tampa,Carrollwood Day,,192,3029,314,24110,FAU,Enrolled,https://247sports.com/player/jordan-magwood-46130774/,,,,,,,,181,221.4
Jackson Bradley,2025,85,3,3-Jun,220,QB,Louisiana,Oak Grove,Oak Grove,,83,1660,48,24121,Louisiana Tech,Enrolled,https://247sports.com/player/jackson-bradley-46136828/,,,,,,,,76.8,100.4
Dalton Anderson,2025,,0,2-Jun,205,QB,Washington,Seattle,Roosevelt,,,,,24095,Washington St.,Enrolled,https://247sports.com/player/dalton-anderson-46143470/,,,,,,,,250.6,287
