QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,RECRUIT STATUS,PLAYER URL
Bode Soukup,2024,,0,6-2,205.0,QB,Nebraska,Blair,Blair,,,,,24025,Enrolled,https://247sports.com/player/bode-soukup-46144493/
Ale Aparacio,2024,,0,5-10,170.0,QB,Texas,Pharr,PSJA North,,,,,24910,HardCommit,https://247sports.com/player/ale-aparacio-46144564/
Evan Minjarez,2024,,0,6-0,200.0,QB,Texas,El Paso,El Paso Eastwood,,,,,24062,HardCommit,https://247sports.com/player/evan-minjarez-46144573/
Hudson Wilharm,2024,,0,6-5,195.0,QB,North Carolina,Wilmington,Hoggard,,,,,24014,Enrolled,https://247sports.com/player/hudson-wilharm-46144998/
Drake Wells,2024,,0,6-1,190.0,QB,Ohio,Dayton,Centerville,,,,,24495,HardCommit,https://247sports.com/player/drake-wells-46145297/
Evan Medders,2024,,0,6-0,200.0,QB,North Carolina,Waxhaw,Marvin Ridge,,,,,24078,HardCommit,https://247sports.com/player/evan-medders-46145688/
Nahseem Deas,2024,,0,6-3,190.0,QB,New York,Brooklyn,Abraham Lincoln,,,,,24171,Signed,https://247sports.com/player/nahseem-deas-46146106/
Lucas Scheerhorn,2024,,0,6-0,196.0,QB,Texas,Spring,Klein Oak,,,,,24363,Enrolled,https://247sports.com/player/lucas-scheerhorn-46146969/
AJ Miller,2024,,0,6-3,200.0,QB,New York,Rye,Rye,,,,,24037,Enrolled,https://247sports.com/player/aj-miller-46147105/
Parker Awad,2024,,0,6-1,195.0,QB,California,Huntington Beach,Edison,,,,,24123,Enrolled,https://247sports.com/player/parker-awad-46135456/
Brandon Nunez,2024,,0,6-5,225.0,QB,Arizona,Mesa,Mountain View,,,,,24123,Enrolled,https://247sports.com/player/brandon-nunez-46147640/
Rodge Waldrop,2024,82,3,6-5,216.0,QB,Georgia,Thomasville,Brookwood,,5,3381,82,24332,Enrolled,https://247sports.com/player/rodge-waldrop-46148279/
Sean Winton,2024,,0,6-2,195.0,QB,Illinois,Elmhurst,York Community,,,,,24045,Enrolled,https://247sports.com/player/sean-winton-46148361/
Justin Kowalak,2024,,0,6-0,205.0,QB,Illinois,Crystal Lake,Crystal Lake South,,,,,24103,Enrolled,https://247sports.com/player/justin-kowalak-46114464/
Keegan Patterson,2024,,0,6-0,195.0,QB,Colorado,Longmont,Longmont,,,,,24181,Enrolled,https://247sports.com/player/keegan-patterson-46136005/
Macloud Crowton,2024,,0,5-11,191.0,QB,Utah,St. George,Pine View,,,,,24085,Enrolled,https://247sports.com/player/macloud-crowton-46112044/
John David Black,2024,,0,6-3,185.0,QB,Texas,Colleyville,Covenant Christian Academy,,,,,24050,Enrolled,https://247sports.com/player/john-david-black-46151713/
Drew Mestemaker,2024,,0,6-3,215.0,QB,Texas,Austin,Austin Vandegrift,,,,,24114,Enrolled,https://247sports.com/player/drew-mestemaker-46154239/
Robert Shockey,2024,,0,6-1,200.0,QB,West Virginia,Ona,Cabell Midland,,,,,24015,Enrolled,https://247sports.com/player/robert-shockey-46156035/
Jon Hunt,2024,,0,6-2,215.0,QB,South Carolina,Irmo,Dutch Fork,,,,,24262,Enrolled,https://247sports.com/player/jon-hunt-46156522/
Baylor Hayes,2024,,0,6-0,180.0,QB,Tennessee,Brentwood,Brentwood,,,,,24262,Enrolled,https://247sports.com/player/baylor-hayes-46158174/
Landen Clark,2024,,0,6-0,195.0,QB,Virginia,Radford,Radford,,,,,24227,Enrolled,https://247sports.com/player/landen-clark-46163293/
Jimmy Francis,2024,,0,5-10,186.0,QB,Texas,Dallas,St. Mark's,,,,,24105,Enrolled,https://247sports.com/player/jimmy-francis-46163570/
Raymond Moore III,2024,,0,6-4,180.0,QB,Maryland,Pikesville,Mergenthaler Vocational,,,,,24176,Enrolled,https://247sports.com/player/raymond-moore-iii-46164413/
Cade Trotter,2024,,0,6-1,190.0,QB,Texas,Dallas,Highland Park,,,,,24008,Enrolled,https://247sports.com/player/cade-trotter-46165093/
Mason Welch,2024,,0,6-5,227.0,QB,Louisiana,Shreveport,Northwood,,,,,24121,Enrolled,https://247sports.com/player/mason-welch-46112917/
Bryce Underwood,2025,100,5,6-4,230.0,QB,Michigan,Belleville,Belleville,01/06/2024,1,1,1,24042,Enrolled,https://247sports.com/player/bryce-underwood-46113169/
Keelon Russell,2025,100,5,6-3,207.0,QB,Texas,Duncanville,Duncanville,,2,2,1,24096,Enrolled,https://247sports.com/player/keelon-russell-46137983/
Tavien St. Clair,2025,100,5,6-4,230.0,QB,Ohio,Bellefontaine,Bellefontaine,,3,4,1,24046,Enrolled,https://247sports.com/player/tavien-st-clair-46133409/
Husan Longstreet,2025,98,5,6-1,195.0,QB,California,Corona,Corona Centennial,04/14/2024,4,32,3,24257,Enrolled,https://247sports.com/player/husan-longstreet-46134189/
Deuce Knight,2025,96,4,6-5,225.0,QB,Mississippi,Lucedale,George County,,6,56,2,24098,Enrolled,https://247sports.com/player/deuce-knight-46115276/
Julian Lewis,2025,94,4,6-1,190.0,QB,Georgia,Carrollton,Carrollton,,10,126,15,24020,Enrolled,https://247sports.com/player/julian-lewis-46115205/
Jaron-Keawe Sagapolutele,2025,96,4,6-3,225.0,QB,Hawaii,Ewa Beach,James Campbell,07/08/2024,7,65,1,24090,Enrolled,https://247sports.com/player/jaron-keawe-sagapolutele-46133353/
Bryce Baker,2025,93,4,6-2,205.0,QB,North Carolina,Kernersville,East Forsyth,,12,155,5,24014,Enrolled,https://247sports.com/player/bryce-baker-46138587/
Matt Zollers,2025,95,4,6-4,214.0,QB,Pennsylvania,Royersford,Spring-Ford,04/04/2024,9,87,2,24024,Enrolled,https://247sports.com/player/matt-zollers-46140235/
Malik Washington,2025,96,4,6-5,231.0,QB,Maryland,Severn,Archbishop Spalding,06/28/2024,5,54,2,24012,Enrolled,https://247sports.com/player/malik-washington-46133328/
Kamario Taylor,2025,95,4,6-4,230.0,QB,Mississippi,Macon,Noxubee County,,8,80,3,24104,Enrolled,https://247sports.com/player/kamario-taylor-46135624/
Ryan Montgomery,2025,92,4,6-3,215.0,QB,Ohio,Findlay,Findlay,04/17/2024,14,180,5,24100,Enrolled,https://247sports.com/player/ryan-montgomery-46117074/
George MacIntyre,2025,91,4,6-6,195.0,QB,Tennessee,Brentwood,Brentwood Academy,01/22/2024,17,270,9,24106,Enrolled,https://247sports.com/player/george-macintyre-46132721/
Karle Lacey Jr.,2025,90,4,6-0,189.0,QB,Alabama,Saraland,Saraland,,19,296,15,24028,Enrolled,https://247sports.com/player/karle-lacey-jr-46136240/
AJ Hill,2025,93,4,6-4,230.0,QB,Georgia,Warner Robins,Houston County,06/22/2024,11,145,18,24053,Enrolled,https://247sports.com/player/aj-hill-46103864/
Akili Smith Jr.,2025,92,4,6-5,231.0,QB,California,San Diego,San Diego Lincoln,,15,201,17,24090,Enrolled,https://247sports.com/player/akili-smith-jr-46134755/
Brady Hart,2025,89,3,6-4,195.0,QB,Florida,Cocoa,Cocoa,,31,472,60,24029,Enrolled,https://247sports.com/player/brady-hart-46141204/
Adam Schobel,2025,93,4,6-5,205.0,QB,Texas,Columbus,Columbus,,13,162,30,24083,Enrolled,https://247sports.com/player/adam-schobel-46129449/
Luke Nickel,2025,91,4,6-2,220.0,QB,Georgia,Alpharetta,Milton,,16,247,35,24013,Enrolled,https://247sports.com/player/luke-nickel-46118279/
TJ Lateef,2025,89,3,6-1,200.0,QB,California,Orange,Orange Lutheran,,27,438,41,24025,Enrolled,https://247sports.com/player/tj-lateef-46130401/
Tramell Jones Jr.,2025,89,3,6-0,203.0,QB,Florida,Jacksonville,Mandarin,,25,433,51,24099,Enrolled,https://247sports.com/player/tramell-jones-jr-46116584/
Cameron Dyer,2025,94,4,6-3,215.0,QB,New Mexico,Albuquerque,La Cueva,,6,141,1,24088,Enrolled,https://247sports.com/player/cameron-dyer-46145932/
Madden Iamaleava,2025,90,4,6-2,197.0,QB,California,Long Beach,Long Beach Poly,,20,307,30,24097,Enrolled,https://247sports.com/player/madden-iamaleava-46128290/
Ty Hawkins,2025,91,4,6-0,205.0,QB,Texas,San Antonio,IMG Academy,,18,274,29,24055,Enrolled,https://247sports.com/player/ty-hawkins-46134774/
Carter Smith,2025,89,3,6-3,200.0,QB,Florida,Fort Myers,Bishop Verot ,,24,426,44,24049,Enrolled,https://247sports.com/player/carter-smith-46137774/
Alex Manske,2025,88,3,6-3,225.0,QB,Iowa,Algona,Algona,,36,643,6,24021,Enrolled,https://247sports.com/player/alex-manske-46136680/
Blake Hebert,2025,89,3,6-3,225.0,QB,Connecticut,Greenwich,Brunswick School,06/16/2023,29,469,3,24064,Enrolled,https://247sports.com/player/blake-hebert-46134698/
Kevin Sperry,2025,87,3,6-1,210.0,QB,Texas,Denton,Denton Guyer,,50,965,140,24010,Enrolled,https://247sports.com/player/kevin-sperry-46131926/
Bear Bachmeier,2025,88,3,6-2,220.0,QB,California,Murrieta,Murrieta Valley,,34,607,54,24092,Enrolled,https://247sports.com/player/bear-bachmeier-46116816/
Jackson Kollock,2025,89,3,6-4,225.0,QB,California,Laguna Beach,Laguna Beach,,32,473,44,24044,Enrolled,https://247sports.com/player/jackson-kollock-46138251/
Lloyd Jones III,2025,89,3,6-4,215.0,QB,Texas,Hitchcock,Hitchcock,,28,468,60,24030,Enrolled,https://247sports.com/player/lloyd-jones-iii-46130697/
Weston Bryan,2025,90,4,6-3,250.0,QB,Georgia,Leesburg,Lee County,,18,367,51,24229,Enrolled,https://247sports.com/player/weston-bryan-46141609/
Tristan Ti'a,2025,90,4,6-2,205.0,QB,California,Pleasanton,Amador Valley,,21,405,36,24091,Enrolled,https://247sports.com/player/tristan-tia-46144745/
Robert McDaniel,2025,89,3,6-2,200.0,QB,California,Hughson,Hughson,,23,420,38,24093,Enrolled,https://247sports.com/player/robert-mcdaniel-46142194/
Grayson Wilson,2025,89,3,6-3,205.0,QB,Arkansas,Maumelle,Conway,,26,437,2,24097,Enrolled,https://247sports.com/player/grayson-wilson-46135316/
Dash Beierly,2025,89,3,6-0,213.0,QB,California,Santa Ana,Mater Dei,,30,470,43,24094,Enrolled,https://247sports.com/player/dash-beierly-46128687/
Will Wilson,2025,88,3,6-1,230.0,QB,South Carolina,Columbia,Richland Northeast,,35,631,15,24015,Enrolled,https://247sports.com/player/will-wilson-46129643/
Bjorn Jurgensen,2025,88,3,6-3,200.0,QB,Florida,Orlando,Bishop Moore Catholic,,33,590,65,24016,Enrolled,https://247sports.com/player/bjorn-jurgensen-46131961/
David McComb,2025,88,3,6-4,220.0,QB,Oklahoma,Edmond,Edmond Memorial,,42,718,15,24022,Enrolled,https://247sports.com/player/david-mccomb-46133180/
Elijiah Oehlke,2025,86,3,6-2,223.0,QB,North Carolina,Hope Mills,Trinity Christian School,,58,1194,27,24018,Enrolled,https://247sports.com/player/elijiah-oehlke-46134655/
Grady Adamson,2025,88,3,6-2,215.0,QB,Oklahoma,Edmond,Deer Creek,,38,649,11,24011,Enrolled,https://247sports.com/player/grady-adamson-46134710/
Cutter Woods,2025,87,3,6-3,204.0,QB,South Carolina,Anderson,Westside,04/10/2024,46,865,21,24105,Enrolled,https://247sports.com/player/cutter-woods-46134735/
Treston McMillan,2025,88,3,5-11,213.0,QB,Hawaii,Mililani,Mililani,,41,703,11,24094,Enrolled,https://247sports.com/player/treston-mcmillan-46136569/
A.J. Brand,2025,88,3,6-2,210.0,QB,South Carolina,Columbia,Irmo,,36,629,13,24017,Enrolled,https://247sports.com/player/aj-brand-46117338/
Ethan Houck,2025,88,3,6-4,205.0,QB,Maryland,Brunswick,Brunswick,,44,812,27,24138,Enrolled,https://247sports.com/player/ethan-houck-46150864/
Mason Heintschel,2025,88,3,6-2,215.0,QB,Ohio,Oregon,Clay,,43,747,30,24034,Enrolled,https://247sports.com/player/mason-heintschel-46144186/
Wyatt Becker,2025,87,3,6-1,195.0,QB,California,Chatsworth,Sierra Canyon,,47,877,79,24085,Enrolled,https://247sports.com/player/wyatt-becker-46117255/
Mason Mims,2025,88,3,6-3,210.0,QB,Alabama,Oxford,Oxford,,37,644,27,24033,Enrolled,https://247sports.com/player/mason-mims-46138196/
Stone Saunders,2025,88,3,6-1,222.0,QB,Pennsylvania,Harrisburg,Bishop McDevitt,08/04/2023,39,650,18,24101,Enrolled,https://247sports.com/player/stone-saunders-46117119/
Jershaun Newton,2025,87,3,6-0,215.0,QB,Florida,Clearwater,Clearwater Central Catholic,,61,883,91,24039,Enrolled,https://247sports.com/player/jershaun-newton-46133332/
Hezekiah Millender,2025,86,3,6-3,205.0,QB,Georgia,Athens,Clarke Central,,79,1548,159,24100,Enrolled,https://247sports.com/player/hezekiah-millender-46141614/
Au'Tori Newkirk,2025,90,4,6-3,200.0,QB,Virginia,Norfolk,Maury,,22,406,13,24014,Enrolled,https://247sports.com/player/autori-newkirk-46147748/
Austin Carlisle,2025,88,3,5-10,190.0,QB,Texas,Missouri City,Fort Bend Ridge Point,05/18/2024,40,664,86,24051,Enrolled,https://247sports.com/player/austin-carlisle-46139472/
Bekkem Kritza,2025,87,3,6-5,199.0,QB,Florida,Hollywood,Chaminade-Madonna,11/14/2023,57,1138,114,24047,Enrolled,https://247sports.com/player/bekkem-kritza-46125722/
Dan Mahan,2025,87,3,6-2,195.0,QB,North Carolina,Burlington,Williams,,56,1125,24,24009,Enrolled,https://247sports.com/player/dan-mahan-46135914/
Carson Boyd,2025,87,3,6-0,190.0,QB,Missouri,St. Louis,Cardinal Ritter College Prep,,48,937,11,24039,Enrolled,https://247sports.com/player/carson-boyd-46114452/
Leo Hannan,2025,87,3,6-3,215.0,QB,California,Anaheim,Servite,,45,852,77,24043,Enrolled,https://247sports.com/player/leo-hannan-46139957/
Scotty Fox Jr.,2025,87,3,6-2,213.0,QB,Ohio,Mentor,Mentor,,51,967,40,24038,Enrolled,https://247sports.com/player/scotty-fox-jr-46137661/
Jamar Malone,2025,86,3,6-2,205.0,QB,California,Downey,Warren,,76,1393,113,24133,Signed,https://247sports.com/player/jamar-malone-46128146/
Byrd Ficklin,2025,87,3,6-1,200.0,QB,Oklahoma,Muskogee,Muskogee,,53,1057,21,24085,Enrolled,https://247sports.com/player/byrd-ficklin-46136393/
Edward Griffin,2025,86,3,6-1,218.0,QB,Texas,Coppell,Coppell,,70,1275,178,24019,Enrolled,https://247sports.com/player/edward-griffin-46136526/
Owen Eshelman,2025,86,3,6-3,202.0,QB,Oklahoma,Norman,Norman North,,60,1241,23,24095,Enrolled,https://247sports.com/player/owen-eshelman-46150945/
Michael Tollefson,2025,87,3,6-1,195.0,QB,California,Tustin,Tustin,,54,1058,95,24088,Enrolled,https://247sports.com/player/michael-tollefson-46116585/
Brennen Ward,2025,86,3,6-4,222.0,QB,Ohio,Columbus,Gahanna Lincoln,,64,1266,49,24101,Enrolled,https://247sports.com/player/brennen-ward-46134106/
Shaker Reisig,2025,87,3,6-0,199.0,QB,Oklahoma,Tulsa,Tulsa Union,,49,964,18,24007,Enrolled,https://247sports.com/player/shaker-reisig-46141587/
Max Gerlich,2025,85,3,6-3,215.0,QB,Texas,Austin,Austin Anderson,,81,1658,242,24391,Enrolled,https://247sports.com/player/max-gerlich-46133324/
Nolan Keeney,2025,86,3,6-4,215.0,QB,Oregon,Tualatin,Tualatin,,62,1258,10,24079,Signed,https://247sports.com/player/nolan-keeney-46135765/
Zebulin Kinsey,2025,86,3,6-3,222.0,QB,Ohio,Toronto,Toronto,,66,1271,50,24031,Enrolled,https://247sports.com/player/zebulin-kinsey-46139626/
Kelden Ryan,2025,87,3,6-2,195.0,QB,Texas,DeSoto,DeSoto,,55,1124,167,24017,Enrolled,https://247sports.com/player/kelden-ryan-46125377/
Jack Elliott,2025,85,3,6-0,205.0,QB,Illinois,Chicago,Mount Carmel,,101,1841,47,24107,Enrolled,https://247sports.com/player/jack-elliott-46142239/
Jaylen Patterson,2025,84,3,6-3,205.0,QB,California,San Jacinto,San Jacinto,,137,2310,195,24123,Enrolled,https://247sports.com/player/jaylen-patterson-46139843/
Sawyer Anderson,2025,85,3,5-11,184.0,QB,Texas,Dallas,Dallas Parish Episcopal,08/15/2023,88,1689,244,24087,Enrolled,https://247sports.com/player/sawyer-anderson-46118594/
Landyn Locke,2025,86,3,6-4,205.0,QB,Texas,Rockwall,Rockwall,,67,1272,177,24237,Enrolled,https://247sports.com/player/landyn-locke-46141143/
Mason Drube,2025,87,3,6-3,205.0,QB,Wyoming,Gillette,Campbell County,,52,968,1,24086,Enrolled,https://247sports.com/player/mason-drube-46148273/
Cole Geer,2025,85,3,6-1,205.0,QB,Massachusetts,Deerfield,Deerfield Academy,,99,1816,10,24016,Enrolled,https://247sports.com/player/cole-geer-46135655/
Chris Jimerson Jr.,2025,86,3,5-10,166.0,QB,Texas,Fort Worth,North Crowley,07/12/2024,73,1328,187,24114,Enrolled,https://247sports.com/player/chris-jimerson-jr-46142405/
Emile Picarella III,2025,86,3,6-2,212.0,QB,Louisiana,Baton Rouge,University Lab,,74,1329,40,24102,Enrolled,https://247sports.com/player/emile-picarella-iii-46111731/
Locklan Hewlett,2025,86,3,6-1,195.0,QB,Florida,St. Augustine,St. Augustine,,61,1242,161,24036,Enrolled,https://247sports.com/player/locklan-hewlett-46116583/
Dillon Duff,2025,86,3,6-1,207.0,QB,Missouri,St. Louis,De Smet Jesuit,,68,1273,18,24023,Enrolled,https://247sports.com/player/dillon-duff-46142124/
Jack Moran,2025,86,3,6-5,225.0,QB,New Jersey,Princeton,Hun School,,78,1534,41,24201,Enrolled,https://247sports.com/player/jack-moran-46146520/
Marcus Romain,2025,85,3,6-0,200.0,QB,Georgia,Marietta,Wheeler,,89,1690,169,24045,Enrolled,https://247sports.com/player/marcus-romain-46147840/
Jimmy Sullivan,2025,86,3,6-1,197.0,QB,Indiana,Fort Wayne,Carroll,,65,1270,22,24041,Enrolled,https://247sports.com/player/jimmy-sullivan-46140601/
Cade Scott,2025,86,3,6-5,200.0,QB,Kentucky,Brandenburg,Meade County,,80,1656,15,24057,Enrolled,https://247sports.com/player/cade-scott-46154501/
Koi Fagan,2025,86,3,6-1,178.0,QB,West Virginia,Martinsburg,Martinsburg,,111,1461,4,24052,Enrolled,https://247sports.com/player/koi-fagan-46154621/
Charlie Johnston,2025,85,3,6-5,200.0,QB,Alabama,Birmingham,Moody,,92,1718,63,24229,Enrolled,https://247sports.com/player/charlie-johnston-46133619/
Ennio Yapoor,2025,84,3,5-11,225.0,QB,Florida,Miami,Miami Norland,,125,2194,229,24265,Enrolled,https://247sports.com/player/ennio-yapoor-46118173/
Jett Niu,2025,85,3,6-2,198.0,QB,Utah,Lehi,Lehi,,84,1664,20,24026,Enrolled,https://247sports.com/player/jett-niu-46135226/
Luke Carney,2025,84,3,6-2,205.0,QB,Texas,Mesquite,Dallas Christian School,,117,2114,297,24037,Enrolled,https://247sports.com/player/luke-carney-46132154/
Sean Ashenfelder,2025,85,3,6-1,210.0,QB,Florida,St. Augustine,Creekside ,,85,1668,182,24035,Enrolled,https://247sports.com/player/sean-ashenfelder-46133536/
JT Kitna,2025,86,3,6-3,221.0,QB,Ohio,Middletown,Lakota East,,75,1330,53,24067,Enrolled,https://247sports.com/player/jt-kitna-46135336/
Luke Haugo,2025,86,3,6-5,200.0,QB,Arizona,Phoenix,Higley,,69,1274,13,24087,Enrolled,https://247sports.com/player/luke-haugo-46137969/
Colton Gumino,2025,84,3,6-0,196.0,QB,Illinois,Arlington Heights,John Hersey,,126,2208,61,24093,Enrolled,https://247sports.com/player/colton-gumino-46129610/
Eli Morcos,2025,85,3,6-1,205.0,QB,Texas,Montgomery,Lake Creek,,98,1815,271,24029,Enrolled,https://247sports.com/player/eli-morcos-46147053/
Ryan Fitzgerald,2025,86,3,6-1,218.0,QB,Illinois,Wilmette,Loyola Academy,,77,1452,37,24041,Enrolled,https://247sports.com/player/ryan-fitzgerald-46145800/
Rich Belin,2025,85,3,6-0,195.0,QB,New York,Bronx,Cardinal Hayes,06/27/2024,97,1814,14,24037,Enrolled,https://247sports.com/player/rich-belin-46133585/
Steele Pizzella,2025,86,3,5-11,180.0,QB,California,Sherman Oaks,Notre Dame,,71,1311,105,24018,Enrolled,https://247sports.com/player/steele-pizzella-46127905/
Carter Jones,2025,86,3,6-4,190.0,QB,Texas,Lancaster,Lancaster,,63,1259,172,24122,Enrolled,https://247sports.com/player/carter-jones-46141575/
Ksaan Farrar,2025,85,3,6-3,215.0,QB,Virginia,Virginia Beach,Green Run,05/12/2024,103,1870,45,24032,Enrolled,https://247sports.com/player/ksaan-farrar-46147316/
JP Mialovski,2025,85,3,6-2,205.0,QB,California,Long Beach,Millikan,,106,1898,153,24082,Enrolled,https://247sports.com/player/jp-mialovski-46133627/
Jack James,2025,85,3,6-0,210.0,QB,Kentucky,Paducah,Paducah Tilghman,,105,1874,17,24115,Enrolled,https://247sports.com/player/jack-james-46143956/
Deante Ruffin,2025,83,3,6-2,215.0,QB,New Jersey,Atco,Winslow Township,,153,2560,50,24071,Enrolled,https://247sports.com/player/deante-ruffin-46133271/
Noah Ehrlich,2025,86,3,6-1,194.0,QB,Indiana,Crown Point,Crown Point,,72,1325,24,24072,Enrolled,https://247sports.com/player/noah-ehrlich-46116618/
Tyrell Lewis,2025,85,3,6-1,200.0,QB,Ohio,Dayton,Wayne,,94,1740,73,24108,Enrolled,https://247sports.com/player/tyrell-lewis-46131180/
Andrew Alford,2025,85,3,6-0,195.0,QB,Alabama,Phenix City,Central Phenix City,,114,2072,83,24058,Enrolled,https://247sports.com/player/andrew-alford-46141215/
Deuce Bailey,2025,85,3,6-1,190.0,QB,Kentucky,Danville,Bowling Green,,104,1873,16,24182,Enrolled,https://247sports.com/player/deuce-bailey-46145684/
Mark Wiepert,2025,85,3,6-1,210.0,QB,Oregon,Wilsonville,Wilsonville,,154,2020,12,24090,Enrolled,https://247sports.com/player/mark-wiepert-46151961/
Max Anderson,2025,85,3,6-0,208.0,QB,West Virginia,Martinsburg,Spring Mills,,157,2068,6,24038,Enrolled,https://247sports.com/player/max-anderson-46155342/
Ethan Plumb,2025,85,3,6-3,187.0,QB,Illinois,St. Charles,St. Charles North,,102,1845,51,24280,HardCommit,https://247sports.com/player/ethan-plumb-46129591/
Jay Beamon,2025,85,3,6-4,220.0,QB,Mississippi,Cleveland,Cleveland Central,,112,1985,39,24057,Enrolled,https://247sports.com/player/jay-beamon-46135275/
Alonzo Esparza,2025,83,3,6-0,190.0,QB,California,Los Alamitos,Los Alamitos,,145,2477,211,24089,Enrolled,https://247sports.com/player/alonzo-esparza-46117845/
Chad Warner,2025,85,3,6-2,170.0,QB,Texas,Cibolo,Cibolo Steele,,82,1659,243,24061,Enrolled,https://247sports.com/player/chad-warner-46134352/
Jax Brown,2025,,0,6-3,195.0,QB,Texas,Pflugerville,Pflugerville Weiss,,,,,24237,Enrolled,https://247sports.com/player/jax-brown-46133925/
Jason Wright,2025,85,3,6-3,195.0,QB,Virginia,Richmond,Huguenot,,113,2057,50,24068,Enrolled,https://247sports.com/player/jason-wright-46144534/
Tama Amisone,2025,84,3,6-0,182.0,QB,Hawaii,Kapolei,Kapolei,,135,2288,23,24124,Enrolled,https://247sports.com/player/tama-amisone-46148270/
Christian Langford,2025,85,3,6-1,200.0,QB,Georgia,Buford,Langston Hughes,,100,1840,188,24109,Enrolled,https://247sports.com/player/christian-langford-46136593/
Denzel Gardner,2025,84,3,6-0,205.0,QB,Maryland,Hyattsville,DeMatha Catholic,,128,2234,61,24056,Enrolled,https://247sports.com/player/denzel-gardner-46129828/
Silas Corder,2025,,0,6-1,207.0,QB,Mississippi,Pascagoula,Pascagoula,,,,,24056,Enrolled,https://247sports.com/player/silas-corder-46151607/
Jaystin Gwinn,2025,85,3,5-10,206.0,QB,Ohio,Westerville,Westerville Central,,107,1904,76,24046,Enrolled,https://247sports.com/player/jaystin-gwinn-46133417/
John Gazzaniga,2025,85,3,6-7,241.0,QB,California,Rancho Santa Margarita,Santa Margarita Catholic,,90,1691,135,24096,Enrolled,https://247sports.com/player/john-gazzaniga-46133767/
Wyatt Horton,2025,85,3,6-0,175.0,QB,Arizona,Phoenix,Pinnacle,,96,1796,22,24127,Signed,https://247sports.com/player/wyatt-horton-46140999/
Ethan Drumm,2025,83,3,6-2,195.0,QB,Florida,Jacksonville,The Bolles School,,162,2615,263,24232,Signed,https://247sports.com/player/ethan-drumm-46146760/
Bryson Kimbrough,2025,85,3,6-2,200.0,QB,Alabama,Tuscaloosa,Hillcrest-Tuscaloosa,,111,1960,72,24112,Enrolled,https://247sports.com/player/bryson-kimbrough-46148910/
Kolton Matson,2025,84,3,6-2,195.0,QB,Washington,Lake Stevens,Lake Stevens,,120,2173,27,24408,HardCommit,https://247sports.com/player/kolton-matson-46128306/
Noah Gillon,2025,83,3,6-3,180.0,QB,Mississippi,Tupelo,Tupelo,,152,2559,54,24224,Enrolled,https://247sports.com/player/noah-gillon-46138254/
Grant Vigen,2025,84,3,6-6,220.0,QB,Montana,Bozeman,Gallatin,,131,2239,1,24129,Signed,https://247sports.com/player/grant-vigen-46140981/
John Austin Wood,2025,84,3,6-4,185.0,QB,Mississippi,Fulton,Itawamba Agricultural,,140,2428,51,24314,Signed,https://247sports.com/player/john-austin-wood-46142128/
Conner Nelson,2025,84,3,6-3,218.0,QB,Alabama,Leeds,Leeds ,,119,2156,94,24238,Signed,https://247sports.com/player/conner-nelson-46143022/
Terrell Russell,2025,84,3,6-0,170.0,QB,Alabama,Montgomery,Carver Montgomery,,122,2190,98,24175,Signed,https://247sports.com/player/terrell-russell-46143066/
Trevor Havill,2025,84,3,6-5,210.0,QB,Kentucky,Louisville,St. Xavier,,132,2248,28,24170,HardCommit,https://247sports.com/player/trevor-havill-46144454/
Axel Eason,2025,84,3,6-4,212.0,QB,California,Westlake Village,Oaks Christian,,138,2319,197,24158,Signed,https://247sports.com/player/axel-eason-46148194/
Nick Cyrus,2025,84,3,6-6,190.0,QB,New York,Brooklyn,South Shore,,118,2155,19,24204,HardCommit,https://247sports.com/player/nick-cyrus-46149969/
Brady Stober,2025,84,3,6-0,185.0,QB,North Carolina,Harrisburg,Hickory Ridge,,130,2238,47,24230,Signed,https://247sports.com/player/brady-stober-46151282/
Jordan Magwood,2025,81,3,6-0,195.0,QB,Florida,Tampa,Carrollwood Day,,192,3029,314,24110,Enrolled,https://247sports.com/player/jordan-magwood-46130774/
Jackson Bradley,2025,85,3,6-3,220.0,QB,Louisiana,Oak Grove,Oak Grove,,83,1660,48,24121,Enrolled,https://247sports.com/player/jackson-bradley-46136828/
Dalton Anderson,2025,,0,6-2,205.0,QB,Washington,Seattle,Roosevelt,,,,,24095,Enrolled,https://247sports.com/player/dalton-anderson-46143470/
Stanley Anderson-Lofton,2025,84,3,6-1,217.0,QB,Florida,Orlando,Dr. Phillips,,115,2092,219,24113,Enrolled,https://247sports.com/player/stanley-anderson-lofton-46145418/
Chaston Ditta,2025,83,3,6-0,193.0,QB,Texas,Austin,Lake Travis,,143,2474,330,24050,Enrolled,https://247sports.com/player/chaston-ditta-46148635/
Ryan Huff,2025,85,3,6-3,215.0,QB,Florida,Pensacola,Pensacola Catholic,,87,1676,189,24160,Enrolled,https://247sports.com/player/ryan-huff-46138822/
Brayden Turner,2025,,0,6-3,205.0,QB,California,Danville,Monte Vista,,,,,24118,Enrolled,https://247sports.com/player/brayden-turner-46144866/
Jackson Hamilton,2025,84,3,5-11,185.0,QB,Texas,Manvel,Manvel,,129,2235,315,24012,Enrolled,https://247sports.com/player/jackson-hamilton-46113384/
