QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,RECRUIT STATUS,PLAYER URL
Bowe Bentley,2026,95,4,6-1,208.0,QB,Texas,Celina,Celina,,8,109,14,24026,Enrolled,https://247sports.com/player/bowe-bentley-46152912/
Jonas Williams,2026,95,4,6-1,220.0,QB,Illinois,Frankfort,Lincoln-Way East,08/03/2024,7,106,2,24257,Enrolled,https://247sports.com/player/jonas-williams-46136886/
Jake Fette,2026,93,4,6-1,190.0,QB,Texas,El Paso,El Paso Del Valle,,11,182,25,24088,Enrolled,https://247sports.com/player/jake-fette-46147239/
Landon Duckworth,2026,93,4,6-4,215.0,QB,Alabama,Jackson,Jackson,07/18/2025,10,154,8,24105,Enrolled,https://247sports.com/player/landon-duckworth-46139845/
Tradon Bessinger,2026,92,4,6-5,213.0,QB,Utah,Kaysville,Davis,,12,187,6,24041,Enrolled,https://247sports.com/player/tradon-bessinger-46149179/
Bryson Beaver,2026,91,4,6-3,205.0,QB,California,Murrieta,Vista Murrieta,,14,286,27,24090,Enrolled,https://247sports.com/player/bryson-beaver-46144520/
Matt Ponatoski,2026,89,3,6-1,205.0,QB,Ohio,Cincinnati,Archbishop Moeller,,22,426,18,24101,Enrolled,https://247sports.com/player/matt-ponatoski-46149817/
Will Griffin,2026,90,4,6-3,219.0,QB,Florida,Tampa,Tampa Jesuit,,16,323,38,24099,Enrolled,https://247sports.com/player/will-griffin-46134943/
Teddy Jarrard,2026,89,3,6-4,210.0,QB,Georgia,Kennesaw,North Cobb,07/24/2025,25,429,40,24064,Enrolled,https://247sports.com/player/teddy-jarrard-46150265/
Grant Lawless,2026,90,4,6-4,195.0,QB,North Carolina,Denver,East Lincoln,,17,324,15,24018,Enrolled,https://247sports.com/player/grant-lawless-46155617/
Travis Burgess,2026,95,4,6-4,193.0,QB,Georgia,Loganville,Grayson,,9,115,12,24014,Enrolled,https://247sports.com/player/travis-burgess-46146928/
Briggs Cherry,2026,90,4,6-4,215.0,QB,Tennessee,Chattanooga,Baylor School,,18,325,11,24033,Enrolled,https://247sports.com/player/briggs-cherry-46137059/
Kayd Coffman,2026,89,3,6-2,206.0,QB,Michigan,Grand Rapids,East Kentwood,,24,428,9,24043,Enrolled,https://247sports.com/player/kayd-coffman-46149774/
Dereon Coleman,2026,89,3,6-1,175.0,QB,Florida,Orlando,Jones,07/03/2024,21,411,46,24013,Enrolled,https://247sports.com/player/dereon-coleman-46129931/
Helaman Casuga,2026,90,4,6-0,213.0,QB,Utah,Draper,Corner Canyon,10/17/2024,20,327,10,24029,Enrolled,https://247sports.com/player/helaman-casuga-46135952/
Tommy Carr,2026,91,4,6-4,185.0,QB,Michigan,Saline,Saline,,15,287,6,24042,Enrolled,https://247sports.com/player/tommy-carr-46140880/
Rocco Marriott,2026,89,3,6-4,220.0,QB,Missouri,Platte City,Platte County,,23,427,4,24060,Enrolled,https://247sports.com/player/rocco-marriott-46140841/
Oscar Rios,2026,89,3,6-3,170.0,QB,California,Downey,Downey,06/27/2025,26,430,37,24087,Enrolled,https://247sports.com/player/oscar-rios-46140329/
Troy Huhn,2026,89,3,6-4,215.0,QB,California,San Marcos,Mission Hills,12/01/2025,28,432,38,24017,Enrolled,https://247sports.com/player/troy-huhn-46139834/
Brady Smigiel,2026,88,3,6-5,215.0,QB,California,Newbury Park,Newbury Park,,37,626,44,24042,Enrolled,https://247sports.com/player/brady-smigiel-46117474/
